claim_id,run_id,profile_hash,cutoff,opportunity_id,recommendation,internal_ranking,confidence,orgao_nome,statement,hard_blockers,missing_information
dec-169,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,169,NÃO_PARTICIPAR,NO_GO,HIGH,CONSELHO REGIONAL DE MEDICINA VETERINARIA DO ESTADO DE SANTA CATARINA,"Oportunidade 169 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=CONSELHO REGIONAL DE MEDICINA VETERINARIA DO ESTADO DE SANTA CATARINA",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""margem_minima"", ""risco_aceitavel""]"
dec-6,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,6,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE JOINVILLE,"Oportunidade 6 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE JOINVILLE",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""margem_minima"", ""risco_aceitavel""]"
dec-286,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,286,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE TIJUCAS,"Oportunidade 286 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE TIJUCAS",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-170,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,170,NÃO_PARTICIPAR,NO_GO,HIGH,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SANTA CATARINA","Oportunidade 170 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SANTA CATARINA",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""margem_minima"", ""risco_aceitavel""]"
dec-348,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,348,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE CAMBORIU,"Oportunidade 348 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE CAMBORIU",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-151,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,151,REVIEW,REVIEW,LOW,FUNDACAO CULTURAL HELMY WENDT MAYER,"Oportunidade 151 → REVIEW (score=69, conf=LOW) órgão=FUNDACAO CULTURAL HELMY WENDT MAYER",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-330,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,330,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE ICARA,"Oportunidade 330 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE ICARA",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-105,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,105,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE CANOINHAS,"Oportunidade 105 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE CANOINHAS",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-50,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,50,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE ARARANGUA,"Oportunidade 50 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE ARARANGUA",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-89,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,89,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE CAPINZAL,"Oportunidade 89 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE CAPINZAL",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-166,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,166,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE MONDAI,"Oportunidade 166 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE MONDAI",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-78,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,78,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE SAUDADES,"Oportunidade 78 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE SAUDADES",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""margem_minima"", ""risco_aceitavel""]"
dec-137,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,137,NÃO_PARTICIPAR,NO_GO,HIGH,UNIVERSIDADE FEDERAL DE SANTA CATARINA,"Oportunidade 137 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=UNIVERSIDADE FEDERAL DE SANTA CATARINA",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""margem_minima"", ""risco_aceitavel""]"
dec-124,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,124,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE PINHALZINHO,"Oportunidade 124 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE PINHALZINHO",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-289,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,289,REVIEW,REVIEW,LOW,FUNDO MUNICIPAL DE SAUDE DE TIJUCAS,"Oportunidade 289 → REVIEW (score=69, conf=LOW) órgão=FUNDO MUNICIPAL DE SAUDE DE TIJUCAS",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""margem_minima"", ""risco_aceitavel""]"
dec-304,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,304,REVIEW,REVIEW,LOW,MUNICIPIO DE SAO BERNARDINO,"Oportunidade 304 → REVIEW (score=69, conf=LOW) órgão=MUNICIPIO DE SAO BERNARDINO",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
